,Year,load_weight,total_area_population,annualized_growth_rate,load_per_capita
1,2004,95621598.0,692102,0.006,138.16113520839414
2,2005,382833122.0,700407,0.012,546.586658899754
3,2006,398775507.0,718912,0.026000000000000002,554.6930737002582
4,2007,426564282.0,735088,0.023,580.2900904381517
5,2008,435740794.0,750525,0.021,580.581318410446
6,2009,436533984.0,774037,0.031,563.9704355218162
7,2010,443686810.0,790390,0.021,561.3517504017004
8,2011,431572181.0,812025,0.027000000000000003,531.476470552015
9,2012,442695449.0,832326,0.025,531.8774722885023
10,2013,451444866.0,855215,0.027999999999999997,527.8729512461779
11,2014,463241725.0,878733,0.027000000000000003,527.1700562059237
12,2015,480427383.0,900701,0.025,533.3927496472193
13,2016,484866828.0,926426,0.028999999999999998,523.373510674355
